ID,CITY_ID,city_label,VERSION,ADDRESS,DESCRIPTION,REG_DATE,COMPLETE_DATE,ANSWER,COORDS_GOOGLE_LAT,COORDS_GOOGLE_LNG,PROBLEM_TYPE,STATUS,DEP_NAME,USER_ID,SOLVED_TIME,ATTACHMENT
296005,1,"Vilnius,Grigiškės",Android,"Birželio 23-iosios g. 14, 03206 Vilnius, Lithuania","parkavimas po zenklu draudziama<br>Pažeidimo data ir laikas: 2023-04-01 04:08<br>Automobilio valst. nr.:[duomenys nuasmeninti]","2023-04-01 04:10:46",,"Jūsų pranešimas priimtas. Užfiksuoto administracinio nusižengimo teisena bus vykdoma Lietuvos Respublikos administracinių nusižengimų kodekse nustatyta tvarka ir terminais. Saugant asmens duomenų privatumą, detalesnė informacija apie transporto priemonės savininko (valdytojo) atžvilgiu priimtus sprendimus neskelbtina.",54.674603,25.261784,"Transporto priemonių stovėjimo tvarkos pažeidimai",Išnagrinėta,"Prevencijos ir teisenos poskyris",122975,,https://minio.vilnius.lt/vilnius/20230401_1680311446_587715868.jpeg
296005,1,"Vilnius,Grigiškės",Android,"Birželio 23-iosios g. 14, 03206 Vilnius, Lithuania","parkavimas po zenklu draudziama<br>Pažeidimo data ir laikas: 2023-04-01 04:08<br>Automobilio valst. nr.:[duomenys nuasmeninti]","2023-04-01 04:10:46",,"Jūsų pranešimas priimtas. Užfiksuoto administracinio nusižengimo teisena bus vykdoma Lietuvos Respublikos administracinių nusižengimų kodekse nustatyta tvarka ir terminais. Saugant asmens duomenų privatumą, detalesnė informacija apie transporto priemonės savininko (valdytojo) atžvilgiu priimtus sprendimus neskelbtina.",54.674603,25.261784,"Transporto priemonių stovėjimo tvarkos pažeidimai",Išnagrinėta,"Prevencijos ir teisenos poskyris",122975,,https://minio.vilnius.lt/vilnius/20230401_1680311448_646017009.jpeg
296006,1,"Vilnius,Grigiškės",Internetu,"Žirmūnų g. 107, Vilnius 09116","Žirmūnų g. 107 verslo centro agregatas esantis esantis tarp 105 ir 107 namų nakties ramybės valandomis kelia ypatingai didelį triukšmą.
Triukšmas prasidėjo 04:50 ir tęsiasi ilgiau nei pusvalandį.","2023-04-01 05:28:51",,,54.720222,25.303608,"Triukšmo prevencijos viešosiose vietose taisyklių pažeidimas",Registruota,"Viešosios tvarkos skyrius",107755,,https://minio.vilnius.lt/vilnius/20230401_1680316132_1950024814_20230401_1.jpg
296006,1,"Vilnius,Grigiškės",Internetu,"Žirmūnų g. 107, Vilnius 09116","Žirmūnų g. 107 verslo centro agregatas esantis esantis tarp 105 ir 107 namų nakties ramybės valandomis kelia ypatingai didelį triukšmą.
Triukšmas prasidėjo 04:50 ir tęsiasi ilgiau nei pusvalandį.","2023-04-01 05:28:51",,,54.720222,25.303608,"Triukšmo prevencijos viešosiose vietose taisyklių pažeidimas",Registruota,"Viešosios tvarkos skyrius",107755,,https://minio.vilnius.lt/vilnius/20230401_1680316135_1360084129_20230401_1.jpg
296007,1,"Vilnius,Grigiškės",Android,"J. Lebedžio g. 1","Auto paliktas draudžiama sustoti ir stovėti ženklo zonos ribose<br>Pažeidimo data ir laikas: 2023-04-01 05:43<br>Automobilio valst. nr.:[duomenys nuasmeninti]","2023-04-01 05:44:04",,"Pateiktose nuotraukose nėra tinkamai užfiksuoto kelio ženklo. Užfiksuotos veikos (galimo KET pažeidimo) negalima kvalifikuoti kaip administracinio nusižengimo, neįmanoma įrodyti nusižengimo sudėties. Administracinio nusižengimo teisena pateikto pranešimo pagrindu vykdoma nebus.",54.720112,25.282141,"Transporto priemonių stovėjimo tvarkos pažeidimai",Išnagrinėta,"Prevencijos ir teisenos poskyris",116433,,https://minio.vilnius.lt/vilnius/20230401_1680317045_1426913298.jpeg
296007,1,"Vilnius,Grigiškės",Android,"J. Lebedžio g. 1","Auto paliktas draudžiama sustoti ir stovėti ženklo zonos ribose<br>Pažeidimo data ir laikas: 2023-04-01 05:43<br>Automobilio valst. nr.:[duomenys nuasmeninti]","2023-04-01 05:44:04",,"Pateiktose nuotraukose nėra tinkamai užfiksuoto kelio ženklo. Užfiksuotos veikos (galimo KET pažeidimo) negalima kvalifikuoti kaip administracinio nusižengimo, neįmanoma įrodyti nusižengimo sudėties. Administracinio nusižengimo teisena pateikto pranešimo pagrindu vykdoma nebus.",54.720112,25.282141,"Transporto priemonių stovėjimo tvarkos pažeidimai",Išnagrinėta,"Prevencijos ir teisenos poskyris",116433,,https://minio.vilnius.lt/vilnius/20230401_1680317047_1058209880.jpeg
296008,1,"Vilnius,Grigiškės",Internetu,"Justiniškių g. 144c, Vilnius 05269","AUDI pilkos spalvos, neleistinoje vietoje Justiniškių 144c Vilnius, be vairuotojo paliktas automobilis po ženklu draudžiama sustoti trukdo įvažiuoti iš Justiniškių gatvės į Sviliškių gatvę, nes yra priparkuotas lėtėjimo juostoje, ir visiškai užstoja matomumą išvažiuojant iš Sviliškių gatvės į Justiniškių gatvę.<br>Pažeidimo data ir laikas: 2023-04-01 06:45<br>Automobilio valst. nr.:[duomenys nuasmeninti]","2023-04-01 07:14:07",,"Jūsų pranešimas priimtas. Užfiksuoto administracinio nusižengimo teisena bus vykdoma Lietuvos Respublikos administracinių nusižengimų kodekse nustatyta tvarka ir terminais. Saugant asmens duomenų privatumą, detalesnė informacija apie transporto priemonės savininko (valdytojo) atžvilgiu priimtus sprendimus neskelbtina.",54.731651,25.219307,"Transporto priemonių stovėjimo tvarkos pažeidimai",Išnagrinėta,"Prevencijos ir teisenos poskyris",91303,,https://minio.vilnius.lt/vilnius/20230401_1680322448_888188251_20230401_1.jpg
296008,1,"Vilnius,Grigiškės",Internetu,"Justiniškių g. 144c, Vilnius 05269","AUDI pilkos spalvos, neleistinoje vietoje Justiniškių 144c Vilnius, be vairuotojo paliktas automobilis po ženklu draudžiama sustoti trukdo įvažiuoti iš Justiniškių gatvės į Sviliškių gatvę, nes yra priparkuotas lėtėjimo juostoje, ir visiškai užstoja matomumą išvažiuojant iš Sviliškių gatvės į Justiniškių gatvę.<br>Pažeidimo data ir laikas: 2023-04-01 06:45<br>Automobilio valst. nr.:[duomenys nuasmeninti]","2023-04-01 07:14:07",,"Jūsų pranešimas priimtas. Užfiksuoto administracinio nusižengimo teisena bus vykdoma Lietuvos Respublikos administracinių nusižengimų kodekse nustatyta tvarka ir terminais. Saugant asmens duomenų privatumą, detalesnė informacija apie transporto priemonės savininko (valdytojo) atžvilgiu priimtus sprendimus neskelbtina.",54.731651,25.219307,"Transporto priemonių stovėjimo tvarkos pažeidimai",Išnagrinėta,"Prevencijos ir teisenos poskyris",91303,,https://minio.vilnius.lt/vilnius/20230401_1680322451_662596169_20230401_1.jpg
296008,1,"Vilnius,Grigiškės",Internetu,"Justiniškių g. 144c, Vilnius 05269","AUDI pilkos spalvos, neleistinoje vietoje Justiniškių 144c Vilnius, be vairuotojo paliktas automobilis po ženklu draudžiama sustoti trukdo įvažiuoti iš Justiniškių gatvės į Sviliškių gatvę, nes yra priparkuotas lėtėjimo juostoje, ir visiškai užstoja matomumą išvažiuojant iš Sviliškių gatvės į Justiniškių gatvę.<br>Pažeidimo data ir laikas: 2023-04-01 06:45<br>Automobilio valst. nr.:[duomenys nuasmeninti]","2023-04-01 07:14:07",,"Jūsų pranešimas priimtas. Užfiksuoto administracinio nusižengimo teisena bus vykdoma Lietuvos Respublikos administracinių nusižengimų kodekse nustatyta tvarka ir terminais. Saugant asmens duomenų privatumą, detalesnė informacija apie transporto priemonės savininko (valdytojo) atžvilgiu priimtus sprendimus neskelbtina.",54.731651,25.219307,"Transporto priemonių stovėjimo tvarkos pažeidimai",Išnagrinėta,"Prevencijos ir teisenos poskyris",91303,,https://minio.vilnius.lt/vilnius/20230401_1680322454_1241608500_20230401_1.jpg
296009,1,"Vilnius,Grigiškės",Android,"S. Nėries g. 85, 06333 Vilnius, Lietuva","Automobilis statomas mažesniu atstumu nei 5 m. iki išvažiavimo iš parkingo teritorijos ir gatvės sankirtos.<br>Pažeidimo data ir laikas: 2023-04-01 07:31<br>Automobilio valst. nr.:[duomenys nuasmeninti]","2023-04-01 07:35:02",,"Jūsų pranešimas priimtas. Užfiksuoto administracinio nusižengimo teisena bus vykdoma Lietuvos Respublikos administracinių nusižengimų kodekse nustatyta tvarka ir terminais. Saugant asmens duomenų privatumą, detalesnė informacija apie transporto priemonės savininko (valdytojo) atžvilgiu priimtus sprendimus neskelbtina.",54.742504,25.231312,"Transporto priemonių stovėjimo tvarkos pažeidimai",Išnagrinėta,"Prevencijos ir teisenos poskyris",101210,,https://minio.vilnius.lt/vilnius/20230401_1680323702_626702893.jpeg
296009,1,"Vilnius,Grigiškės",Android,"S. Nėries g. 85, 06333 Vilnius, Lietuva","Automobilis statomas mažesniu atstumu nei 5 m. iki išvažiavimo iš parkingo teritorijos ir gatvės sankirtos.<br>Pažeidimo data ir laikas: 2023-04-01 07:31<br>Automobilio valst. nr.:[duomenys nuasmeninti]","2023-04-01 07:35:02",,"Jūsų pranešimas priimtas. Užfiksuoto administracinio nusižengimo teisena bus vykdoma Lietuvos Respublikos administracinių nusižengimų kodekse nustatyta tvarka ir terminais. Saugant asmens duomenų privatumą, detalesnė informacija apie transporto priemonės savininko (valdytojo) atžvilgiu priimtus sprendimus neskelbtina.",54.742504,25.231312,"Transporto priemonių stovėjimo tvarkos pažeidimai",Išnagrinėta,"Prevencijos ir teisenos poskyris",101210,,https://minio.vilnius.lt/vilnius/20230401_1680323705_521387083.jpeg
296009,1,"Vilnius,Grigiškės",Android,"S. Nėries g. 85, 06333 Vilnius, Lietuva","Automobilis statomas mažesniu atstumu nei 5 m. iki išvažiavimo iš parkingo teritorijos ir gatvės sankirtos.<br>Pažeidimo data ir laikas: 2023-04-01 07:31<br>Automobilio valst. nr.:[duomenys nuasmeninti]","2023-04-01 07:35:02",,"Jūsų pranešimas priimtas. Užfiksuoto administracinio nusižengimo teisena bus vykdoma Lietuvos Respublikos administracinių nusižengimų kodekse nustatyta tvarka ir terminais. Saugant asmens duomenų privatumą, detalesnė informacija apie transporto priemonės savininko (valdytojo) atžvilgiu priimtus sprendimus neskelbtina.",54.742504,25.231312,"Transporto priemonių stovėjimo tvarkos pažeidimai",Išnagrinėta,"Prevencijos ir teisenos poskyris",101210,,https://minio.vilnius.lt/vilnius/20230401_1680323707_608844253.jpeg
296010,1,"Vilnius,Grigiškės",Android,"H Manto g 6  Vilnius, Lietuva","H Manto gatvėje esančiuose rezervotose
vietose( priklausančiose Kalvarijų turgaus valdymo grupei )
automobilis stovėjo be leidimo rezervotoj vietoj<br>Pažeidimo data ir laikas: 2023-04-01 07:35<br>Automobilio valst. nr.:[duomenys nuasmeninti]","2023-04-01 07:44:13",,"Jūsų pranešimas priimtas. Užfiksuoto administracinio nusižengimo teisena bus vykdoma Lietuvos Respublikos administracinių nusižengimų kodekse nustatyta tvarka ir terminais. Saugant asmens duomenų privatumą, detalesnė informacija apie transporto priemonės savininko (valdytojo) atžvilgiu priimtus sprendimus neskelbtina.",54.700615,25.286604,"Transporto priemonių stovėjimo tvarkos pažeidimai",Išnagrinėta,"Prevencijos ir teisenos poskyris",110651,,https://minio.vilnius.lt/vilnius/20230401_1680324253_189480574.jpeg
296010,1,"Vilnius,Grigiškės",Android,"H Manto g 6  Vilnius, Lietuva","H Manto gatvėje esančiuose rezervotose
vietose( priklausančiose Kalvarijų turgaus valdymo grupei )
automobilis stovėjo be leidimo rezervotoj vietoj<br>Pažeidimo data ir laikas: 2023-04-01 07:35<br>Automobilio valst. nr.:[duomenys nuasmeninti]","2023-04-01 07:44:13",,"Jūsų pranešimas priimtas. Užfiksuoto administracinio nusižengimo teisena bus vykdoma Lietuvos Respublikos administracinių nusižengimų kodekse nustatyta tvarka ir terminais. Saugant asmens duomenų privatumą, detalesnė informacija apie transporto priemonės savininko (valdytojo) atžvilgiu priimtus sprendimus neskelbtina.",54.700615,25.286604,"Transporto priemonių stovėjimo tvarkos pažeidimai",Išnagrinėta,"Prevencijos ir teisenos poskyris",110651,,https://minio.vilnius.lt/vilnius/20230401_1680324255_1819689731.jpeg
296010,1,"Vilnius,Grigiškės",Android,"H Manto g 6  Vilnius, Lietuva","H Manto gatvėje esančiuose rezervotose
vietose( priklausančiose Kalvarijų turgaus valdymo grupei )
automobilis stovėjo be leidimo rezervotoj vietoj<br>Pažeidimo data ir laikas: 2023-04-01 07:35<br>Automobilio valst. nr.:[duomenys nuasmeninti]","2023-04-01 07:44:13",,"Jūsų pranešimas priimtas. Užfiksuoto administracinio nusižengimo teisena bus vykdoma Lietuvos Respublikos administracinių nusižengimų kodekse nustatyta tvarka ir terminais. Saugant asmens duomenų privatumą, detalesnė informacija apie transporto priemonės savininko (valdytojo) atžvilgiu priimtus sprendimus neskelbtina.",54.700615,25.286604,"Transporto priemonių stovėjimo tvarkos pažeidimai",Išnagrinėta,"Prevencijos ir teisenos poskyris",110651,,https://minio.vilnius.lt/vilnius/20230401_1680324257_1881876370.jpeg
296010,1,"Vilnius,Grigiškės",Android,"H Manto g 6  Vilnius, Lietuva","H Manto gatvėje esančiuose rezervotose
vietose( priklausančiose Kalvarijų turgaus valdymo grupei )
automobilis stovėjo be leidimo rezervotoj vietoj<br>Pažeidimo data ir laikas: 2023-04-01 07:35<br>Automobilio valst. nr.:[duomenys nuasmeninti]","2023-04-01 07:44:13",,"Jūsų pranešimas priimtas. Užfiksuoto administracinio nusižengimo teisena bus vykdoma Lietuvos Respublikos administracinių nusižengimų kodekse nustatyta tvarka ir terminais. Saugant asmens duomenų privatumą, detalesnė informacija apie transporto priemonės savininko (valdytojo) atžvilgiu priimtus sprendimus neskelbtina.",54.700615,25.286604,"Transporto priemonių stovėjimo tvarkos pažeidimai",Išnagrinėta,"Prevencijos ir teisenos poskyris",110651,,https://minio.vilnius.lt/vilnius/20230401_1680324260_2024141986.jpeg
296011,1,"Vilnius,Grigiškės",Android,"H. Manto g. 4 Vilnius, Lietuva","H Manto gatvėje esančiuose rezervotose
vietose( priklausančiose Kalvarijų turgaus valdymo grupei )
automobilis stovėjo be leidimo rezervotoj vietoj<br>Pažeidimo data ir laikas: 2023-04-01 07:37<br>Automobilio valst. nr.:[duomenys nuasmeninti]","2023-04-01 07:46:00",,"Jūsų pranešimas priimtas. Užfiksuoto administracinio nusižengimo teisena bus vykdoma Lietuvos Respublikos administracinių nusižengimų kodekse nustatyta tvarka ir terminais. Saugant asmens duomenų privatumą, detalesnė informacija apie transporto priemonės savininko (valdytojo) atžvilgiu priimtus sprendimus neskelbtina.",54.700317,25.285732,"Transporto priemonių stovėjimo tvarkos pažeidimai",Išnagrinėta,"Prevencijos ir teisenos poskyris",110651,,https://minio.vilnius.lt/vilnius/20230401_1680324360_322657155.jpeg
296011,1,"Vilnius,Grigiškės",Android,"H. Manto g. 4 Vilnius, Lietuva","H Manto gatvėje esančiuose rezervotose
vietose( priklausančiose Kalvarijų turgaus valdymo grupei )
automobilis stovėjo be leidimo rezervotoj vietoj<br>Pažeidimo data ir laikas: 2023-04-01 07:37<br>Automobilio valst. nr.:[duomenys nuasmeninti]","2023-04-01 07:46:00",,"Jūsų pranešimas priimtas. Užfiksuoto administracinio nusižengimo teisena bus vykdoma Lietuvos Respublikos administracinių nusižengimų kodekse nustatyta tvarka ir terminais. Saugant asmens duomenų privatumą, detalesnė informacija apie transporto priemonės savininko (valdytojo) atžvilgiu priimtus sprendimus neskelbtina.",54.700317,25.285732,"Transporto priemonių stovėjimo tvarkos pažeidimai",Išnagrinėta,"Prevencijos ir teisenos poskyris",110651,,https://minio.vilnius.lt/vilnius/20230401_1680324362_1373151733.jpeg
296011,1,"Vilnius,Grigiškės",Android,"H. Manto g. 4 Vilnius, Lietuva","H Manto gatvėje esančiuose rezervotose
vietose( priklausančiose Kalvarijų turgaus valdymo grupei )
automobilis stovėjo be leidimo rezervotoj vietoj<br>Pažeidimo data ir laikas: 2023-04-01 07:37<br>Automobilio valst. nr.:[duomenys nuasmeninti]","2023-04-01 07:46:00",,"Jūsų pranešimas priimtas. Užfiksuoto administracinio nusižengimo teisena bus vykdoma Lietuvos Respublikos administracinių nusižengimų kodekse nustatyta tvarka ir terminais. Saugant asmens duomenų privatumą, detalesnė informacija apie transporto priemonės savininko (valdytojo) atžvilgiu priimtus sprendimus neskelbtina.",54.700317,25.285732,"Transporto priemonių stovėjimo tvarkos pažeidimai",Išnagrinėta,"Prevencijos ir teisenos poskyris",110651,,https://minio.vilnius.lt/vilnius/20230401_1680324364_1244447299.jpeg
296011,1,"Vilnius,Grigiškės",Android,"H. Manto g. 4 Vilnius, Lietuva","H Manto gatvėje esančiuose rezervotose
vietose( priklausančiose Kalvarijų turgaus valdymo grupei )
automobilis stovėjo be leidimo rezervotoj vietoj<br>Pažeidimo data ir laikas: 2023-04-01 07:37<br>Automobilio valst. nr.:[duomenys nuasmeninti]","2023-04-01 07:46:00",,"Jūsų pranešimas priimtas. Užfiksuoto administracinio nusižengimo teisena bus vykdoma Lietuvos Respublikos administracinių nusižengimų kodekse nustatyta tvarka ir terminais. Saugant asmens duomenų privatumą, detalesnė informacija apie transporto priemonės savininko (valdytojo) atžvilgiu priimtus sprendimus neskelbtina.",54.700317,25.285732,"Transporto priemonių stovėjimo tvarkos pažeidimai",Išnagrinėta,"Prevencijos ir teisenos poskyris",110651,,https://minio.vilnius.lt/vilnius/20230401_1680324367_2050625242.jpeg
296012,1,"Vilnius,Grigiškės",Android,"Gedvydžių g. 22, 06330 Vilnius, Lietuva","Atsivėrusios asfalto duobės važiuojamojoje dalyje automobilių važiavimo vietoje. Duobė virš 15 cm. gylio","2023-04-01 08:06:38",,,54.738224,25.238922,"Duobės, įgriuvos, šuliniai",Nagrinėjama,"UAB &#34;Grinda&#34;",124363,,https://minio.vilnius.lt/vilnius/20230401_1680325599_788996326.jpeg
296012,1,"Vilnius,Grigiškės",Android,"Gedvydžių g. 22, 06330 Vilnius, Lietuva","Atsivėrusios asfalto duobės važiuojamojoje dalyje automobilių važiavimo vietoje. Duobė virš 15 cm. gylio","2023-04-01 08:06:38",,,54.738224,25.238922,"Duobės, įgriuvos, šuliniai",Nagrinėjama,"UAB &#34;Grinda&#34;",124363,,https://minio.vilnius.lt/vilnius/20230401_1680325601_1230887593.jpeg
296012,1,"Vilnius,Grigiškės",Android,"Gedvydžių g. 22, 06330 Vilnius, Lietuva","Atsivėrusios asfalto duobės važiuojamojoje dalyje automobilių važiavimo vietoje. Duobė virš 15 cm. gylio","2023-04-01 08:06:38",,,54.738224,25.238922,"Duobės, įgriuvos, šuliniai",Nagrinėjama,"UAB &#34;Grinda&#34;",124363,,https://minio.vilnius.lt/vilnius/20230401_1680325603_103432132.jpeg
296013,10,Tauragė,Internetu,"Akacijų g. 8, Tauragė 72108","Tarailiai, Akacijų ir Mindaugo gatvių sankryža, tujos auga 30 - 40 centimetrų ant kelio, labai trukdo matomumui!!! ","2023-04-01 08:35:23",,,55.254414,22.271151,"Želdynų priežiūra (medžių ir krūmų genėjimas bei kirtimas)",Registruota,"Tauragės rajono savivaldybės administracija",78823,,
296014,10,Tauragė,Internetu,"Mindaugo g. 7, Tauragė 72107","Tarailiai, Akacijų ir Mindaugo gatvių sankryža, tujos auga 30 - 40 centimetrų ant kelio, labai trukdo matomumui!!! ","2023-04-01 08:37:02",,,55.254436,22.270090,"Želdynų priežiūra (medžių ir krūmų genėjimas bei kirtimas)",Registruota,"Tauragės rajono savivaldybės administracija",78823,,
